	x
112	NODE_4991_length_2597_cov_413.969851_g758_i2
113	NODE_3709_length_2861_cov_235.458126_g1179_i2
114	NODE_10010_length_2007_cov_86.096741_g5156_i1
115	NODE_38307_length_687_cov_2854.395963_g24103_i0
116	NODE_6543_length_2371_cov_367.257732_g3661_i1
117	NODE_26423_length_1097_cov_509.072106_g16132_i0
118	NODE_33734_length_830_cov_464.371029_g15325_i2
119	NODE_50173_length_391_cov_3760.341954_g5485_i10
120	NODE_2143_length_3363_cov_185.579518_g1384_i0
121	NODE_40248_length_631_cov_278.336735_g25637_i0
122	NODE_7342_length_2271_cov_127.929533_g4476_i1
123	NODE_50928_length_378_cov_531.313433_g35721_i0
124	NODE_36310_length_746_cov_202.769559_g22594_i0
125	NODE_26057_length_1111_cov_411.992509_g10130_i1
126	NODE_2414_length_3250_cov_359.270034_g605_i1
127	NODE_12868_length_1789_cov_224.835052_g2461_i3
128	NODE_11851_length_1863_cov_250.889011_g575_i3
129	NODE_1219_length_3866_cov_260.104630_g809_i0
130	NODE_8285_length_2168_cov_191.735529_g5198_i1
131	NODE_15822_length_1602_cov_367.388069_g4347_i3
132	NODE_4767_length_2635_cov_88.956019_g917_i5
133	NODE_22302_length_1272_cov_114.257933_g7631_i1
134	NODE_12375_length_1825_cov_64.854658_g4574_i1
135	NODE_12512_length_1814_cov_1843.830604_g6411_i2
136	NODE_15454_length_1623_cov_287.858228_g1373_i9
137	NODE_25661_length_1127_cov_625.775830_g13209_i1
138	NODE_23168_length_1234_cov_191.440806_g12902_i1
139	NODE_3433_length_2933_cov_510.106574_g1496_i1
140	NODE_15841_length_1601_cov_416.802953_g1292_i2
141	NODE_28845_length_1003_cov_366.831250_g8837_i3
142	NODE_24462_length_1177_cov_263.815697_g13834_i1
143	NODE_33106_length_852_cov_559.995056_g20323_i0
144	NODE_30524_length_939_cov_923.437500_g18651_i0
145	NODE_3753_length_2853_cov_162.403203_g2421_i0
146	NODE_21672_length_1301_cov_125.927663_g13297_i0
147	NODE_32014_length_888_cov_162.697041_g19590_i0
148	NODE_29786_length_967_cov_191.020563_g18178_i0
149	NODE_23671_length_1212_cov_323.042772_g507_i2
150	NODE_56729_length_299_cov_1000.746094_g41519_i0
151	NODE_14566_length_1675_cov_196.030025_g4939_i1
152	NODE_19492_length_1404_cov_383.590742_g9909_i1
153	NODE_25624_length_1129_cov_388.917127_g15256_i1
154	NODE_35345_length_776_cov_1901.178718_g21892_i0
155	NODE_15390_length_1627_cov_526.759470_g9577_i0
156	NODE_35569_length_769_cov_1288.976584_g22055_i0
157	NODE_19341_length_1411_cov_148.249269_g11928_i0
158	NODE_36951_length_727_cov_1447.160819_g23080_i0
159	NODE_2321_length_3291_cov_270.240764_g1496_i0
160	NODE_8744_length_2120_cov_123.056331_g725_i2
161	NODE_21295_length_1317_cov_291.265306_g13075_i0
162	NODE_31581_length_903_cov_1024.779070_g6769_i1
163	NODE_33423_length_841_cov_380.448622_g20454_i1
164	NODE_13970_length_1715_cov_162.228469_g2679_i1
165	NODE_6165_length_2419_cov_133.819444_g3952_i0
166	NODE_27984_length_1036_cov_849.552870_g1909_i2
167	NODE_41054_length_608_cov_113.392920_g26305_i0
168	NODE_10707_length_1951_cov_274.810273_g6744_i0
169	NODE_23414_length_1223_cov_1489.055085_g5974_i2
170	NODE_26880_length_1079_cov_563.455598_g15076_i1
171	NODE_16977_length_1538_cov_624.122408_g5459_i1
172	NODE_21952_length_1289_cov_181.256822_g4454_i3
173	NODE_15677_length_1610_cov_534.356094_g9577_i1
174	NODE_6979_length_2313_cov_53.848899_g1542_i1
175	NODE_25347_length_1141_cov_965.683060_g14519_i1
176	NODE_21413_length_1312_cov_244.747045_g5710_i2
177	NODE_23376_length_1225_cov_240.721658_g14287_i0
178	NODE_12892_length_1787_cov_1841.569381_g5588_i3
179	NODE_11951_length_1855_cov_82.248896_g7518_i0
180	NODE_6696_length_2351_cov_90.352253_g174_i1
181	NODE_8986_length_2098_cov_305.033577_g5702_i0
182	NODE_17709_length_1499_cov_203.839286_g10959_i0
183	NODE_965_length_4062_cov_120.684499_g641_i0
184	NODE_34686_length_797_cov_151.814324_g21410_i0
185	NODE_19363_length_1410_cov_229.550110_g4957_i1
186	NODE_36278_length_747_cov_306.127841_g2317_i1
187	NODE_20805_length_1339_cov_620.347222_g12792_i0
188	NODE_48309_length_428_cov_1555.680519_g33111_i0
189	NODE_3438_length_2932_cov_96.766701_g833_i2
190	NODE_2569_length_3192_cov_494.790727_g1655_i1
191	NODE_36866_length_730_cov_230.315866_g18179_i2
192	NODE_34512_length_803_cov_545.348684_g21282_i0
193	NODE_43601_length_539_cov_4266.733871_g28552_i0
194	NODE_8185_length_2179_cov_190.963951_g5198_i0
195	NODE_7038_length_2306_cov_269.010605_g534_i6
196	NODE_12206_length_1837_cov_162.979933_g691_i3
197	NODE_14604_length_1672_cov_306.453039_g6066_i1
198	NODE_27091_length_1071_cov_1494.834630_g15522_i1
199	NODE_29972_length_960_cov_659.383860_g16918_i1
200	NODE_26881_length_1079_cov_166.868726_g16381_i0
201	NODE_44227_length_523_cov_1671.602083_g29132_i0
202	NODE_6174_length_2418_cov_114.413895_g3957_i0
203	NODE_36889_length_729_cov_248.176385_g21082_i1
204	NODE_12893_length_1787_cov_1838.247706_g5588_i4
205	NODE_29402_length_983_cov_382.980851_g17929_i0
206	NODE_15880_length_1599_cov_146.399743_g1180_i1
207	NODE_37208_length_720_cov_290.571640_g12903_i3
208	NODE_17329_length_1519_cov_199.241192_g4107_i4
209	NODE_26778_length_1083_cov_1120.750000_g15355_i1
210	NODE_4228_length_2747_cov_90.843195_g1800_i1
211	NODE_35747_length_763_cov_447.293056_g17929_i4
212	NODE_36773_length_733_cov_1566.420290_g22948_i0
213	NODE_31892_length_892_cov_94.138987_g19513_i0
214	NODE_28200_length_1027_cov_109.323171_g17185_i0
215	NODE_21554_length_1306_cov_263.404592_g12174_i1
216	NODE_757_length_4293_cov_204.323529_g238_i1
217	NODE_7590_length_2243_cov_152.022273_g4407_i1
218	NODE_33594_length_835_cov_294.549242_g20650_i0
219	NODE_20359_length_1361_cov_300.267830_g12531_i0
220	NODE_14352_length_1690_cov_142.222222_g8942_i0
221	NODE_28222_length_1026_cov_86.931841_g15975_i1
222	NODE_10870_length_1937_cov_303.015312_g4177_i2
223	NODE_10498_length_1967_cov_277.489085_g2825_i1
224	NODE_11180_length_1912_cov_472.993044_g2427_i5
225	NODE_18458_length_1458_cov_201.682686_g11397_i0
226	NODE_28515_length_1015_cov_364.655350_g8837_i2
227	NODE_17672_length_1501_cov_232.154321_g2418_i3
228	NODE_13238_length_1764_cov_178.088321_g8267_i0
229	NODE_13796_length_1725_cov_186.031510_g2025_i2
230	NODE_19664_length_1395_cov_56.426775_g11126_i1
231	NODE_21212_length_1320_cov_262.593579_g6961_i1
232	NODE_45347_length_496_cov_625.483444_g30198_i0
233	NODE_26214_length_1105_cov_246.810734_g14769_i1
234	NODE_21699_length_1300_cov_270.085123_g4107_i5
235	NODE_7591_length_2243_cov_80.880000_g4840_i0
236	NODE_1912_length_3453_cov_118.233431_g1248_i0
237	NODE_30941_length_926_cov_49.937712_g18905_i0
238	NODE_16672_length_1555_cov_130.797619_g10367_i0
239	NODE_22376_length_1269_cov_75.097879_g13732_i0
240	NODE_10095_length_2000_cov_116.164538_g3541_i4
241	NODE_41503_length_595_cov_845.407609_g18293_i2
242	NODE_10535_length_1964_cov_117.707444_g6642_i0
243	NODE_16701_length_1553_cov_433.543709_g8499_i1
244	NODE_22950_length_1243_cov_172.586667_g14039_i0
245	NODE_14743_length_1663_cov_154.873457_g1743_i1
246	NODE_22137_length_1280_cov_595.613581_g12335_i1
247	NODE_31745_length_897_cov_2132.223653_g19419_i0
248	NODE_41776_length_587_cov_62.126838_g26926_i0
249	NODE_30085_length_955_cov_114.270833_g10967_i1
250	NODE_41526_length_594_cov_670.208711_g26714_i0
251	NODE_13763_length_1728_cov_302.966172_g674_i2
252	NODE_25904_length_1118_cov_1229.187907_g15821_i0
253	NODE_36247_length_748_cov_296.375887_g6961_i3
254	NODE_13287_length_1761_cov_632.980210_g2457_i4
255	NODE_24337_length_1182_cov_166.111501_g9910_i1
256	NODE_50172_length_391_cov_3760.781609_g5485_i9
257	NODE_10121_length_1997_cov_184.496929_g2181_i1
258	NODE_10550_length_1963_cov_55.380208_g2395_i2
259	NODE_9944_length_2012_cov_75.420518_g2422_i2
260	NODE_21352_length_1315_cov_141.879717_g9515_i1
261	NODE_19407_length_1408_cov_240.016117_g7273_i3
262	NODE_11381_length_1897_cov_301.412621_g7175_i0
263	NODE_27658_length_1050_cov_83.703078_g16849_i0
264	NODE_18750_length_1443_cov_77.803571_g976_i2
265	NODE_28363_length_1021_cov_222.033742_g17279_i0
266	NODE_25769_length_1123_cov_194.670370_g15739_i0
267	NODE_35169_length_782_cov_123.760487_g21759_i0
