	logFC	logCPM	PValue	FDR
NODE_31950_length_891_cov_15.926887_g4516_i1	9.04154365949714	11.1798622863817	1.15221633786412e-87	1.99033850202647e-83
NODE_62988_length_245_cov_3.297030_g47778_i0	9.11893736331232	10.3955815841132	3.21767471743318e-83	2.77910565344704e-79
NODE_43320_length_546_cov_49.280318_g28296_i0	7.59329610358672	12.8380913867467	5.54280807264543e-74	3.19154888822924e-70
NODE_41062_length_608_cov_25.053097_g26312_i0	7.85029206025433	11.4967552396683	1.11675020502627e-73	4.82268576040597e-70
NODE_44480_length_517_cov_6.251055_g29365_i0	7.75442860893503	10.3320539077207	8.68995553379344e-70	3.00220583781496e-66
NODE_31149_length_919_cov_13.807078_g19030_i0	7.27503967472168	11.0396240121727	6.43262529344112e-66	1.8519528219817e-62
NODE_36954_length_727_cov_68.980994_g23083_i0	6.8596366895829	11.9261767664052	3.97721096750702e-64	9.81462032181662e-61
NODE_39204_length_660_cov_57.051864_g24799_i0	6.87343911149382	11.4429988553029	1.30986756606273e-63	2.82833154202094e-60
NODE_39673_length_647_cov_4.359272_g25181_i0	7.73777809365511	9.00562034679148	3.3558158125675e-63	6.4409291495879e-60
NODE_67879_length_216_cov_1.179191_g52669_i0	7.27146154157893	8.83303315682804	4.01860925161677e-59	6.94174562124281e-56
NODE_21971_length_1289_cov_9.379615_g13488_i0	6.60963171155625	10.0176593929781	3.3898986611653e-54	5.32337358845176e-51
NODE_72006_length_198_cov_1.200000_g56796_i0	6.90111865263296	8.16083741476069	5.26004753817817e-53	7.57183843120747e-50
NODE_27923_length_1039_cov_23.360442_g17022_i0	5.77310874392781	9.27801486583955	5.28026175803629e-48	7.01624935448607e-45
NODE_95325_length_146_cov_1.766990_g80115_i0	6.1202179743775	7.92084054901142	8.86038293430427e-45	1.09324467719409e-41
NODE_6215_length_2412_cov_985.177712_g1972_i1	-5.6830043850475	8.00831904294375	9.79468602135178e-44	1.12795604221887e-40
NODE_40465_length_625_cov_10.733677_g25825_i0	5.31865052304071	10.9462469086053	7.09431961571476e-42	7.65920481511605e-39
NODE_24940_length_1158_cov_14.417937_g15231_i0	5.36040616970014	7.41993302631156	1.73421174399322e-40	1.76216315680817e-37
NODE_9270_length_2070_cov_1007.095708_g5879_i0	-5.26703293165863	8.01797333941824	1.83940639701059e-40	1.7652170056645e-37
NODE_74584_length_188_cov_1.779310_g59374_i0	5.75398085340703	8.17035274489083	4.53291500056984e-40	4.12113545893913e-37
NODE_12265_length_1832_cov_676.195640_g7702_i0	-5.30342718668058	7.52665997156849	5.63345189126493e-39	4.86561239848552e-36
NODE_75396_length_185_cov_2036.119718_g60186_i0	-5.09470826721606	8.45998840131827	6.87949202112719e-39	5.65887357966434e-36
NODE_29457_length_982_cov_4.108626_g17964_i0	5.48310227591293	7.50565437242207	1.03090622275607e-38	8.09448822358559e-36
NODE_40811_length_615_cov_1755.243007_g26105_i0	-5.12880088309965	8.20743225317792	2.36692847852227e-38	1.77766619730407e-35
NODE_94546_length_147_cov_1.355769_g79336_i0	5.73305375845895	8.33330893793358	4.1992491323552e-38	3.02240956301265e-35
NODE_26535_length_1093_cov_422.249524_g16190_i0	-5.89098482906582	6.71154973494437	4.52768211369489e-38	3.12844723327862e-35
NODE_36775_length_733_cov_529.801449_g22950_i0	-5.34798806466553	7.26276327216596	8.25926613961356e-38	5.48732935752634e-35
NODE_29325_length_986_cov_589.162248_g17881_i0	-5.17750559160329	7.46520616043262	9.61959859378815e-38	6.15440541144802e-35
NODE_36231_length_749_cov_6.804533_g22531_i0	5.53752783781237	7.64089737875851	1.24311335424471e-37	7.66912145757968e-35
NODE_32452_length_873_cov_743.454217_g19889_i0	-5.43128530092035	7.27091362308295	1.4693965168336e-37	8.75253635578743e-35
NODE_18127_length_1476_cov_682.860433_g11199_i0	-5.18887483124776	7.28631670184346	3.31266367082287e-37	1.90743174165981e-34
NODE_21125_length_1324_cov_9.497268_g12984_i0	5.43543933615625	7.1872540286259	5.9238351505579e-37	3.30091381905604e-34
NODE_32902_length_858_cov_533.749693_g20191_i0	-5.5794093793355	6.74671709185652	7.47413851635699e-37	4.03463339786096e-34
NODE_36917_length_728_cov_1275.221898_g23057_i0	-4.84609843159807	7.8899959843744	5.7148865957592e-36	2.99148336530741e-33
NODE_16701_length_1553_cov_433.543709_g8499_i1	-5.01495349447969	7.53278484138644	9.36366248173929e-36	4.65075608519194e-33
NODE_45344_length_496_cov_2476.869757_g30196_i0	-5.30369512217164	7.20571590543882	9.42320614690969e-36	4.65075608519194e-33
NODE_89861_length_152_cov_1.917431_g74651_i0	5.74169689703074	7.97030505596046	1.75817239422755e-35	8.43629720496852e-33
NODE_40248_length_631_cov_278.336735_g25637_i0	-5.50268362197902	6.70948173873656	1.28853077529975e-34	6.01569746284536e-32
NODE_74589_length_188_cov_1.765517_g59379_i0	5.439423548453	6.52393156718254	1.92562390783348e-34	8.75348089050408e-32
NODE_35569_length_769_cov_1288.976584_g22055_i0	-4.49265527388906	8.62417455510078	2.09029610705653e-34	9.25840383417809e-32
NODE_3530_length_2906_cov_309.474328_g2265_i0	-5.3576692657286	6.47721905958846	3.44421604841625e-34	1.48738470050856e-31
NODE_7645_length_2236_cov_938.258094_g1909_i1	-4.58506072768186	7.86489341231554	1.83343426595577e-33	7.72457158783412e-31
NODE_11330_length_1901_cov_493.764263_g7145_i0	-4.95016507140324	6.90754171834501	3.34656640905782e-33	1.37639495595392e-30
NODE_8074_length_2191_cov_645.687616_g5124_i0	-4.66257904551351	7.38940061717061	5.52292766832309e-33	2.21867564052588e-30
NODE_12528_length_1813_cov_354.261582_g1527_i1	-5.20056409954328	6.51837498869422	7.14504312487516e-33	2.80507897588849e-30
NODE_27252_length_1064_cov_3796.830558_g16607_i0	-4.30651510622353	9.55280657218508	1.19977834223967e-32	4.60554912974401e-30
NODE_22613_length_1259_cov_525.731086_g13851_i0	-4.88588548820191	7.18173152053297	1.27917551694565e-32	4.80358214776504e-30
NODE_40458_length_625_cov_574.683849_g25819_i0	-4.47548406355219	8.16462262481601	1.89649611126113e-32	6.970228473601e-30
NODE_19588_length_1399_cov_1151.048673_g11230_i1	-4.42507085492331	8.12172828213177	2.73136675508065e-32	9.82950610984648e-30
NODE_14429_length_1685_cov_393.440317_g8992_i0	-4.85590046150557	6.85677558857576	3.23482687884457e-32	1.14037550010533e-29
NODE_12892_length_1787_cov_1841.569381_g5588_i3	-4.64964122950923	7.437769547702	3.57764472419219e-32	1.22024720828307e-29
NODE_2310_length_3295_cov_511.580566_g905_i2	-4.78596966021237	7.11208657120714	3.60267498103719e-32	1.22024720828307e-29
NODE_13528_length_1745_cov_5.075793_g8456_i0	5.00281909294173	7.74501410240748	7.60894376653514e-32	2.52763258890631e-29
NODE_32602_length_868_cov_1084.520000_g19990_i0	-4.5297491267002	7.52217520679992	8.92825871532984e-32	2.90993851035109e-29
NODE_3680_length_2867_cov_318.481941_g2135_i1	-5.0890371267414	6.44105432522344	2.16118539628267e-31	6.91339195099757e-29
NODE_48678_length_420_cov_4.870027_g33479_i0	5.05025084277456	6.59753393939066	2.21268090123951e-31	6.94942725236568e-29
NODE_27822_length_1044_cov_3.602398_g16959_i0	5.2177226766286	6.53429181664982	2.36693031893626e-31	7.30113470166159e-29
NODE_19879_length_1385_cov_727.362891_g3788_i1	-4.4152165730668	7.71900912785172	2.90427013473201e-31	8.80146707146678e-29
