	x
146	NODE_15090_length_1642_cov_104.475297_g9116_i1
147	NODE_27927_length_1039_cov_14.071285_g17024_i0
148	NODE_27103_length_1071_cov_42.156615_g16516_i0
149	NODE_4879_length_2614_cov_25853.823415_g3134_i0
150	NODE_16015_length_1591_cov_107.546512_g9949_i0
151	NODE_84484_length_162_cov_2.218487_g69274_i0
152	NODE_29948_length_961_cov_53.302832_g18280_i0
153	NODE_66077_length_225_cov_4.686813_g50867_i0
154	NODE_97669_length_141_cov_2.551020_g82459_i0
155	NODE_18278_length_1468_cov_15.184561_g11290_i0
156	NODE_30354_length_945_cov_185.068736_g18540_i0
157	NODE_31999_length_889_cov_15.648936_g19580_i1
158	NODE_19751_length_1391_cov_8.328635_g12166_i0
159	NODE_23021_length_1240_cov_80.115288_g13148_i1
160	NODE_27751_length_1046_cov_13.579262_g16904_i0
161	NODE_38262_length_689_cov_4.258514_g24065_i0
162	NODE_55312_length_315_cov_14.694853_g40102_i0
163	NODE_39872_length_641_cov_60.197324_g25338_i0
164	NODE_35822_length_761_cov_33.168524_g22236_i0
165	NODE_34891_length_791_cov_15.807487_g21559_i0
166	NODE_34580_length_801_cov_525.944591_g17498_i2
167	NODE_46212_length_475_cov_11.303241_g31040_i0
168	NODE_98550_length_124_cov_14.049383_g83340_i0
169	NODE_49418_length_405_cov_31.419890_g34215_i0
170	NODE_32585_length_869_cov_9.180387_g19973_i0
171	NODE_8267_length_2170_cov_41.229901_g5246_i1
172	NODE_19073_length_1425_cov_42.717077_g11780_i0
173	NODE_26379_length_1099_cov_17.138258_g16110_i0
174	NODE_34267_length_812_cov_104.925878_g19732_i1
175	NODE_18128_length_1476_cov_204.411724_g11022_i1
176	NODE_16723_length_1552_cov_58.842942_g2790_i3
177	NODE_27297_length_1063_cov_17.460784_g16635_i0
178	NODE_15569_length_1616_cov_17.412587_g9678_i0
179	NODE_86962_length_158_cov_0.817391_g71752_i0
180	NODE_49474_length_404_cov_13.307479_g34271_i0
181	NODE_98582_length_122_cov_4.291139_g83372_i0
182	NODE_31063_length_922_cov_71.416382_g18524_i1
183	NODE_39287_length_658_cov_32.414634_g24868_i0
184	NODE_11351_length_1900_cov_15.065159_g6130_i1
185	NODE_20117_length_1373_cov_287.157143_g12392_i0
186	NODE_46040_length_479_cov_25.075688_g30870_i0
187	NODE_31334_length_912_cov_99.726122_g19144_i0
188	NODE_47830_length_438_cov_20.825316_g32637_i0
189	NODE_17413_length_1515_cov_31.667120_g10784_i0
190	NODE_42592_length_565_cov_402.036398_g27532_i1
191	NODE_14921_length_1653_cov_156.298758_g9305_i0
192	NODE_17809_length_1493_cov_249.653793_g11022_i0
193	NODE_13663_length_1735_cov_70.523050_g8533_i2
194	NODE_23269_length_1230_cov_25.558551_g14228_i0
195	NODE_5537_length_2510_cov_6.079449_g3559_i0
196	NODE_36707_length_736_cov_6.024531_g22900_i0
197	NODE_38319_length_687_cov_15.956522_g24109_i0
198	NODE_12675_length_1802_cov_17.849346_g7951_i0
199	NODE_22086_length_1283_cov_24.777419_g13558_i0
200	NODE_39254_length_659_cov_7.259740_g24837_i0
201	NODE_19212_length_1419_cov_9.417878_g11853_i0
202	NODE_19094_length_1424_cov_29.918175_g11793_i0
203	NODE_38214_length_690_cov_21.817620_g23678_i1
204	NODE_22152_length_1280_cov_15.607114_g13600_i0
205	NODE_20700_length_1344_cov_11.603382_g12730_i0
206	NODE_20693_length_1344_cov_35.788624_g11860_i1
207	NODE_4322_length_2727_cov_33.714978_g2494_i1
208	NODE_9909_length_2015_cov_23.626268_g6265_i0
209	NODE_39967_length_639_cov_7.354027_g25413_i0
210	NODE_6523_length_2373_cov_120.716309_g4181_i0
211	NODE_24040_length_1194_cov_28.423979_g12250_i1
212	NODE_14599_length_1673_cov_16.476074_g9102_i0
213	NODE_10591_length_1960_cov_14.594679_g6677_i0
214	NODE_34320_length_810_cov_1118.383312_g6107_i5
215	NODE_40684_length_619_cov_8.592014_g4443_i1
216	NODE_43620_length_539_cov_5.635081_g28568_i0
217	NODE_78655_length_175_cov_3.500000_g63445_i0
218	NODE_37068_length_724_cov_24.770925_g23177_i0
219	NODE_34785_length_794_cov_32.127830_g21479_i0
220	NODE_39718_length_645_cov_97.073090_g25217_i0
221	NODE_24082_length_1192_cov_206.885117_g9359_i1
222	NODE_1892_length_3464_cov_12.730488_g1234_i0
223	NODE_86363_length_159_cov_1.034483_g71153_i0
224	NODE_28568_length_1013_cov_38.358763_g14742_i1
225	NODE_29496_length_980_cov_18.026681_g17988_i0
226	NODE_8388_length_2157_cov_279.365658_g132_i2
227	NODE_44744_length_511_cov_12.207265_g29616_i0
228	NODE_42476_length_568_cov_2998.443810_g27531_i0
229	NODE_12332_length_1828_cov_27.491317_g7740_i0
230	NODE_37896_length_699_cov_24.664634_g23796_i0
231	NODE_41737_length_588_cov_117.455046_g26891_i0
232	NODE_31835_length_894_cov_28.068155_g19476_i0
233	NODE_33610_length_835_cov_6.194444_g20663_i0
234	NODE_11142_length_1915_cov_37.259615_g6387_i1
235	NODE_34720_length_796_cov_19.816733_g5747_i1
236	NODE_7813_length_2221_cov_20.419651_g4973_i0
237	NODE_60985_length_260_cov_1.691244_g45775_i0
238	NODE_25884_length_1119_cov_38.298327_g15806_i0
239	NODE_27027_length_1074_cov_30.061106_g16472_i0
240	NODE_4996_length_2596_cov_85.406972_g1374_i1
241	NODE_41909_length_584_cov_4.314233_g27036_i0
242	NODE_13661_length_1735_cov_76.533688_g8533_i0
243	NODE_21935_length_1290_cov_68.359262_g13464_i0
244	NODE_80344_length_171_cov_1.101562_g65134_i0
245	NODE_53789_length_335_cov_1.434932_g38579_i0
246	NODE_19063_length_1426_cov_22.257411_g10089_i1
247	NODE_30474_length_941_cov_28.449889_g18620_i0
248	NODE_27413_length_1059_cov_20.247047_g16705_i0
